	idfunctie	periode	functie	volgnummer	lokaal	id	old_idfunctie	old_id
355	715	2	secretaris departement van de jacht	0	0	0	batfra_715	batfra_0
356	716	2	ontvanger-generaal Holland	0	0	0	batfra_716	batfra_0
357	717	2	intendant	0	0	0	batfra_717	batfra_0
358	718	2	grand-trésorier	0	0	0	batfra_718	batfra_0
359	719	2	amanuensis	0	0	0	batfra_719	batfra_0
360	720	2	censeur	0	0	0	batfra_720	batfra_0
361	721	2	adjunct hoofdcommies	0	0	0	batfra_721	batfra_0
362	722	2	commies chartermeester	0	0	0	batfra_722	batfra_0
363	723	2	directeur correspondentie	0	0	0	batfra_723	batfra_0
364	724	2	boodschapper van staat	0	0	0	batfra_724	batfra_0
365	725	2	gecommitteerde	0	0	0	batfra_725	batfra_0
366	426	2	secretaris onder orders van de Provisionele raad van Regentschap	0	0	0	batfra_426	batfra_0
0	1	2	lid	0	0	0	negentiende_eeuw_1	negentiende_eeuw_0
1	2	2	griffier	0	0	0	negentiende_eeuw_2	negentiende_eeuw_0
2	3	2	commies van staat	0	0	0	negentiende_eeuw_3	negentiende_eeuw_0
3	4	2	commies-griffier	0	0	0	negentiende_eeuw_4	negentiende_eeuw_0
4	5	2	buitengewoon lid in werkelijke dienst	0	0	0	negentiende_eeuw_5	negentiende_eeuw_0
5	6	2	secretaris	0	0	0	negentiende_eeuw_6	negentiende_eeuw_0
6	7	2	referendaris	0	0	0	negentiende_eeuw_7	negentiende_eeuw_0
7	8	2	referendaris eerste klasse	0	0	0	negentiende_eeuw_8	negentiende_eeuw_0
8	9	2	referendaris tweede klasse	0	0	0	negentiende_eeuw_9	negentiende_eeuw_0
9	10	2	voorzitter	0	0	0	negentiende_eeuw_10	negentiende_eeuw_0
