	idcollege	periode	college	volgnummerbasiscollege	basis	id	old_idcollege	old_id
193	272	2	Landdrost en Assessoren van Overijssel (1807-1810)	0.0	0	0	batfra_272	batfra_0
194	275	2	Landdrost en Assessoren van Oost-Friesland (1808-1810)	0.0	0	0	batfra_275	batfra_0
195	278	2	Landdrost en Assessoren van Brabant (1807-1810)	0.0	0	0	batfra_278	batfra_0
196	279	2	Hof van Friesland (1499-1811)	0.0	0	0	batfra_279	batfra_0
197	280	2	Departementaal Gerechtshof van Friesland (1802-1811)	0.0	0	0	batfra_280	batfra_0
198	281	2	Representanten van het volk van Friesland	0.0	0	0	batfra_281	batfra_0
199	287	2	Departementaal Bestuur van Friesland (1805-1807)	0.0	0	0	batfra_287	batfra_0
200	288	2	Departementaal Gerechtshof van Groningen (1802-1811)	0.0	0	0	batfra_288	batfra_0
201	289	2	Departementaal Bestuur van Overijssel (1802-1805)	0.0	0	0	batfra_289	batfra_0
202	290	2	Departementaal Bestuur van de Delf	0.0	0	0	batfra_290	batfra_0
203	291	2	Departementaal Bestuur van Holland (1802-1805)	0.0	0	0	batfra_291	batfra_0
204	295	2	Departementaal Bestuur van de Rijn	0.0	0	0	batfra_295	batfra_0
205	296	2	Departementaal Bestuur van Utrecht (1802-1805)	0.0	0	0	batfra_296	batfra_0
206	298	2	Departementaal Bestuur van Gelderland (1802-1805)	0.0	0	0	batfra_298	batfra_0
207	299	2	Departementaal Bestuur van Zeeland (1802-1805)	0.0	0	0	batfra_299	batfra_0
208	300	2	Departementaal Bestuur van Brabant (1802-1805)	0.0	0	0	batfra_300	batfra_0
209	301	2	Hof van Justitie van Gelderland (1795-1802)	0.0	0	0	batfra_301	batfra_0
210	302	2	Departementaal Gerechtshof van Gelderland (1802-1811)	0.0	0	0	batfra_302	batfra_0
211	303	2	Departementaal Bestuur van de Amstel	0.0	0	0	batfra_303	batfra_0
212	304	2	Departementaal Bestuur van de Eems	0.0	0	0	batfra_304	batfra_0
213	305	2	Landdrost en Assessoren van Maasland (1807-1810)	0.0	0	0	batfra_305	batfra_0
214	306	2	Landdrost en Assessoren van Groningen (1807-1810)	0.0	0	0	batfra_306	batfra_0
215	307	2	Hof van Justitie (Hof Provinciaal) van Groningen (1795-1802)	0.0	0	0	batfra_307	batfra_0
216	308	2	Landdrost en Assessoren van Gelderland (1807-1810)	0.0	0	0	batfra_308	batfra_0
217	309	2	Departementaal Bestuur van de Dommel	0.0	0	0	batfra_309	batfra_0
218	310	2	Drossaard en Raden in de Etstoel (Hof van Justitie) van Drenthe	0.0	0	0	batfra_310	batfra_0
219	311	2	Departementaal Gerechtshof van Overijssel (1802-1811)	0.0	0	0	batfra_311	batfra_0
220	312	2	Departementaal Gerechtshof van de Oude IJssel (Deventer) (1799-1801)	0.0	0	0	batfra_312	batfra_0
221	313	2	Hof van Justitie van Brabant (1795-1802)	0.0	0	0	batfra_313	batfra_0
222	315	2	Landdrost en Assessoren van Amstelland (1807-1810)	0.0	0	0	batfra_315	batfra_0
223	316	2	Departementaal Bestuur van de Schelde en Maas	0.0	0	0	batfra_316	batfra_0
224	317	2	Departementaal Bestuur van de Oude IJssel	0.0	0	0	batfra_317	batfra_0
225	318	2	Departementaal Gerechtshof (Etstoel) van Drenthe (1802-1811)	0.0	0	0	batfra_318	batfra_0
226	320	2	Landdrost en Assessoren van Drenthe (1807-1810)	0.0	0	0	batfra_320	batfra_0
227	322	2	Provisionele Representanten van het Volk van Bataafs Brabant	0.0	0	0	batfra_322	batfra_0
228	323	2	Provisionele Representanten van het Volk van Zeeland	0.0	0	0	batfra_323	batfra_0
229	324	2	Provisionele Representanten van het Volk van Holland	0.0	0	0	batfra_324	batfra_0
230	325	2	Provisionele Representanten van het Volk van Overijssel	0.0	0	0	batfra_325	batfra_0
231	327	2	Departementaal Bestuur van de Landschap Drenthe (1805-1807)	0.0	0	0	batfra_327	batfra_0
232	328	2	Landdrost en Assessoren van Utrecht (1807-1810)	0.0	0	0	batfra_328	batfra_0
233	329	2	Landdrost en Assessoren van Zeeland (1807-1809)	0.0	0	0	batfra_329	batfra_0
234	330	2	Departementaal Bestuur van Texel	0.0	0	0	batfra_330	batfra_0
235	332	2	Departementaal Bestuur van Groningen (1802-1805)	0.0	0	0	batfra_332	batfra_0
236	333	2	Hof van Utrecht (1795-1799)	0.0	0	0	batfra_333	batfra_0
237	341	2	Departementaal Gerechtshof van Brabant (1802-1811)	0.0	0	0	batfra_341	batfra_0
